批次号 (溯源码)	产品名称	GS1-128标准码	隐形防伪码
B-FARMER-20260209-5BY6	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-5B(3102)006940	458020aeed4346b2
B-FARMER-20260209-PLXH	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-PL(3102)034700	064210e2e2b14d4b
B-FARMER-20260209-DP5F	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-202-07alstk(3102)009770	3d8a565e2f3247d7
B-FARMER-20260209-J3AL	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-202-0hc23r7(3102)048850	c65afe34aecd4af6
B-FARMER-20260209-ELF6	长白山人参 精制片	(01)06912345678901(10)B-FARMER-202-087h75i(3102)009750	38c0f788d64d402f
B-FARMER-20260209-16H8	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-20260209-16(3102)048750	4b37f08702e44bb6
B-FARMER-20260209-C8LS	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-C8(3102)004220	7e6c6951dee848ca
B-FARMER-20260209-AIH3	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-20260209-AI(3102)021100	bd8b5bdd19e2441e
B-FARMER-20260209-HU7J	云南三七 精制片	(01)06912345678901(10)B-FARMER-202-088u88r(3102)001800	726b1c3a31434ad1
B-FARMER-20260209-PS6S	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-PS(3102)009000	36ce9e3b1b014cd0
B-FARMER-20260209-X8UM	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-X8(3102)004310	f273a01f6264413c
B-FARMER-20260209-7H8B	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-0g128ek(3102)021550	da8af42c0fe54263
B-FARMER-20260209-I340	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-I3(3102)004160	fadc2026b965431d
B-FARMER-20260209-RU1Y	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-00bb2ea(3102)020800	49accc27065d4d15
B-FARMER-20260209-HQ52	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-HQ(3102)008370	64d7d06fd26b476a
B-FARMER-20260209-RPAE	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-RP(3102)041850	67b6d2da2dc946ff
B-FARMER-20260209-BLR8	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-BL(3102)004920	c204ffca32cb47a2
B-FARMER-20260209-8E8P	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-8E(3102)024600	75417b3de40a4a88
B-FARMER-20260209-HO72	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-0dmgmdh(3102)006880	231287bffdb94b92
B-FARMER-20260209-5O70	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-5O(3102)034400	8ea0bf0f4fa54173
B-FARMER-20260209-AH7L	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-AH(3102)004140	81b0f9870d8b4909
B-FARMER-20260209-I86O	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-I8(3102)020700	b2c330e8bb914dcc
B-FARMER-20260209-FLBU	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-FL(3102)006870	0b01e9d211b9477a
B-FARMER-20260209-7HFA	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-202-0frm3e1(3102)034350	2bda758630674832
B-FARMER-20260209-HCKL	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-0cjfls0(3102)007860	a2fd6da6ad3047e8
B-FARMER-20260209-AUZ4	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-AU(3102)039300	11313f47b63a48b2
B-FARMER-20260209-9AJU	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-9A(3102)004680	0beb6b0b8aca459e
B-FARMER-20260209-25VM	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-25(3102)023400	6d2e8d7bd81a4558
B-FARMER-20260209-VQX0	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-0bq7tww(3102)002970	de69df09c73f4d47
B-FARMER-20260209-HO9R	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-HO(3102)014850	8ce68bbc0c8a484d
B-FARMER-20260209-J1KN	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-J1(3102)006540	55eb4c2ca69e4175
B-FARMER-20260209-1BSQ	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-1B(3102)032700	1b07282020d74306
B-FARMER-20260209-YHOZ	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-YH(3102)009930	71a4aaa256e34cc5
B-FARMER-20260209-ORBL	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-OR(3102)049650	7a69178dd1b44165
B-FARMER-20260209-QVYE	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-QV(3102)008180	f6075f3ca45d4b8a
B-FARMER-20260209-7HRP	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-202-0cg9es0(3102)040900	a2136c3846d74c38
B-FARMER-20260209-M5KV	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-M5(3102)006270	c82995082ab24bcb
B-FARMER-20260209-2JB1	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-2J(3102)031350	7c0d3186af4e4bcf
B-FARMER-20260209-KPOH	四川当归 精制片	(01)06912345678901(10)B-FARMER-202-077xrri(3102)004550	b772612209eb41bc
B-FARMER-20260209-Y09W	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-021nsyu(3102)022750	82cb1c8bc0434673
B-FARMER-20260209-78LD	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-78(3102)005190	a1a4539d9edb410f
B-FARMER-20260209-1CJP	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-1C(3102)025950	9e8d476119f548ea
B-FARMER-20260209-DHWQ	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-DH(3102)004790	0c57c63a0eab40cf
B-FARMER-20260209-7DIP	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-202-0c08nuf(3102)023950	1153575f5e2a4c13
B-FARMER-20260209-02X8	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-02(3102)001730	52a145c64de047bf
B-FARMER-20260209-F8FU	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-F8(3102)008650	0dd5da8944884f42
B-FARMER-20260209-5VXS	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-04c0v0r(3102)001280	9d021edd3d544fff
B-FARMER-20260209-003O	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-00(3102)006400	b6177862a3284bd2
B-FARMER-20260209-8LQ6	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-0hef1c6(3102)008110	915dd49f4d604b28
B-FARMER-20260209-XP06	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-202-055w88f(3102)040550	af73dbbf19684f16
B-FARMER-20260209-V7HT	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-V7(3102)009560	4c589ba5553747ca
B-FARMER-20260209-BOQV	云南三七 (原始)	(01)06912345678901(10)B-FARMER-202-0gp8j9z(3102)047800	6b7a58b087e140cd
B-FARMER-20260209-M1Y9	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-M1(3102)002720	b5eda015337249a5
B-FARMER-20260209-U7I8	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-U7(3102)013600	b671ce147978440e
B-FARMER-20260209-OW9L	四川当归 精制片	(01)06912345678901(10)B-FARMER-202-0eszs3m(3102)006380	78b6a137600f442d
B-FARMER-20260209-FWS4	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-FW(3102)031900	06069809013e4f45
B-FARMER-20260209-QI8G	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-QI(3102)009930	a10c256599324730
B-FARMER-20260209-QN5U	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-QN(3102)049650	dfd12e9be2ff4236
B-FARMER-20260209-P2VQ	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-P2(3102)006990	a1789c965dcd4728
B-FARMER-20260209-OO0X	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-OO(3102)034950	88e91d5ce22341b8
B-FARMER-20260209-8QGJ	四川当归 精制片	(01)06912345678901(10)B-FARMER-202-00w3yhd(3102)008520	6f63dfdfd287457a
B-FARMER-20260209-LUNW	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-LU(3102)042600	2daa373458804b67
B-FARMER-20260209-3ME3	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-3M(3102)001630	503a05bc9bfc46ee
B-FARMER-20260209-3BG4	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-202-09qytgl(3102)008150	cd30d7ddf07b46f8
B-FARMER-20260209-ME6C	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-0b173wl(3102)005360	c2e132e689d9484d
B-FARMER-20260209-QDDX	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-QD(3102)026800	a2a56f2248164263
B-FARMER-20260209-S68T	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-S6(3102)008740	d3475f08ce79405f
B-FARMER-20260209-G02N	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-G0(3102)043700	a697a7a527bc4a69
B-FARMER-20260209-2197	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-21(3102)006630	d9ebc6ac91514e27
B-FARMER-20260209-E3HU	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-05jj1ev(3102)033150	771e87650ca943f9
B-FARMER-20260209-GBBN	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-GB(3102)009270	0f67947c74bd4c7a
B-FARMER-20260209-5VDR	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-5V(3102)046350	6b3cd1d099584ae1
B-FARMER-20260209-5Y81	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-5Y(3102)006710	64db661c63ad4ed7
B-FARMER-20260209-7DFC	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-7D(3102)033550	537cea2ee9fa4497
B-FARMER-20260209-7H2E	四川当归 精制片	(01)06912345678901(10)B-FARMER-202-08tv7tk(3102)009370	d956a4e50f744fd4
B-FARMER-20260209-HMQG	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-HM(3102)046850	592995ac95084242
B-FARMER-20260209-BZEZ	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-BZ(3102)005540	8d9c19a2c59b440f
B-FARMER-20260209-35ZT	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-35(3102)027700	833fc72452324030
B-FARMER-20260209-T2GR	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-T2(3102)007500	997506af92dd47d4
B-FARMER-20260209-X34G	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-X3(3102)037500	6ebc3d92a56d4dde
B-FARMER-20260209-T9KD	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-T9(3102)001700	7ed8ed7959c1469a
B-FARMER-20260209-05JL	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-05(3102)008500	36df001d8ec446c1
B-FARMER-20260209-HZQA	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-202-07tmll4(3102)007110	0ef4b36feeef4290
B-FARMER-20260209-E6P5	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-202-0dhm4tz(3102)035550	1d9c19034817446f
B-FARMER-20260209-MU9X	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-MU(3102)007870	0effa65295bb4a83
B-FARMER-20260209-XT2P	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-077wl0x(3102)039350	bb6a0ecbed834a8a
B-FARMER-20260209-154M	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-15(3102)006880	20326309209546bf
B-FARMER-20260209-DYZJ	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-DY(3102)034400	a2c325487d994a19
B-FARMER-20260209-CLTZ	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-CL(3102)008820	4ee06e7bf42040c1
B-FARMER-20260209-HP1A	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-HP(3102)044100	de2e4baac3c24bec
B-FARMER-20260209-U1JK	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-U1(3102)004610	a7ab99b0e5ca4b0d
B-FARMER-20260209-A9UB	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-A9(3102)023050	b8f8b1549fae4efe
B-FARMER-20260209-62HA	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-62(3102)007910	68a4386670074056
B-FARMER-20260209-WQ30	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-202-0g11c6c(3102)039550	2d5c5faeb0a54750
B-FARMER-20260209-JT6Y	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-0ckjiau(3102)003060	489725bf53cd4140
B-FARMER-20260209-FOCW	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-FO(3102)015300	9d65296253454196
B-FARMER-20260209-VCNP	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-VC(3102)007230	5ddc8984ae1547c2
B-FARMER-20260209-KVDV	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-KV(3102)036150	27aebef9dfa342ac
B-FARMER-20260209-L8TA	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-L8(3102)008520	e4a76051398f4aae
B-FARMER-20260209-A458	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-A4(3102)042600	d44286d05f404e01
B-FARMER-20260209-2BIS	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-2B(3102)003970	77c0399522894f69
B-FARMER-20260209-PX9L	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-PX(3102)019850	e3a2a816645d4c5b
B-FARMER-20260209-IOFW	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-IO(3102)003580	c4a7ef14650546aa
B-FARMER-20260209-JI0E	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-JI(3102)017900	643d26413d56499c
B-FARMER-20260209-7VA3	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-7V(3102)004440	377ded82bd724dcb
B-FARMER-20260209-FQG4	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-FQ(3102)022200	a09d7e42383d45f7
B-FARMER-20260209-ZQOM	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-ZQ(3102)005340	fdcde2b2ffcf4dd8
B-FARMER-20260209-GG6X	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-GG(3102)026700	68b55e96b4d54012
B-FARMER-20260209-6LXF	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-6L(3102)008710	c79ed80568ce47c7
B-FARMER-20260209-MPZB	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-MP(3102)043550	15897aafc14e4c12
B-FARMER-20260209-BVPP	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-202-0agvnqa(3102)007580	8a2ae36bef8e4688
B-FARMER-20260209-OCCP	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-OC(3102)037900	155c12ed30e640bd
B-FARMER-20260209-36KU	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-36(3102)003260	c77f3c68b54f437b
B-FARMER-20260209-12DE	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-12(3102)016300	fd0888c94b8b4434
B-FARMER-20260209-O2GJ	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-O2(3102)003250	fe690fba017e46d6
B-FARMER-20260209-VRXO	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-VR(3102)016250	0cb117ee57014d6e
B-FARMER-20260209-XVAU	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-XV(3102)001070	6f8ee9c850d34af0
B-FARMER-20260209-SEDO	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-SE(3102)005350	a007722169c44123
B-FARMER-20260209-TF6T	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-TF(3102)003520	0ad18044f646482b
B-FARMER-20260209-9U6Q	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-9U(3102)017600	11070b33e8094777
B-FARMER-20260209-ICQT	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-IC(3102)006270	d31ad1c5f11e4070
B-FARMER-20260209-8DK0	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-8D(3102)031350	a4681ff613404aa6
B-FARMER-20260209-0LH7	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-0L(3102)001410	4673ff22d4ee41ee
B-FARMER-20260209-BNWT	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-BN(3102)007050	0231ba84e1354452
B-FARMER-20260209-BKSY	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-BK(3102)005380	9c8aa88dddfc4f57
B-FARMER-20260209-VLZF	四川当归 (原始)	(01)06912345678901(10)B-FARMER-20260209-VL(3102)026900	98a3321ad6ae478b
B-FARMER-20260209-OXFK	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-OX(3102)009160	c8c7e1581982486c
B-FARMER-20260209-QB0G	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-QB(3102)045800	1c530eac51e846f7
B-FARMER-20260209-O88O	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-O8(3102)008870	ab7fb2a3e2044515
B-FARMER-20260209-LFUQ	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-LF(3102)044350	35897506ac734dd1
B-FARMER-20260209-DPQE	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-0emzogx(3102)007250	19ee3339460a4c6d
B-FARMER-20260209-S9DO	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-S9(3102)036250	57c9f2110eda4ee2
B-FARMER-20260209-ZPCE	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-0amo80a(3102)008230	d6d4e12449194584
B-FARMER-20260209-R3B0	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-R3(3102)041150	f02d1532028a4a0c
B-FARMER-20260209-QZMQ	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-QZ(3102)002000	0d511ed48a88408f
B-FARMER-20260209-OMA2	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-OM(3102)010000	6b316014f5cc476f
B-FARMER-20260209-SNK9	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-SN(3102)005530	e18622a6d5314521
B-FARMER-20260209-BFM7	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-BF(3102)027650	f47b575fb4894ba7
B-FARMER-20260209-Z6ZG	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-Z6(3102)004500	1aa1e21e842b4d90
B-FARMER-20260209-7PZA	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-7P(3102)022500	bc67b88bc9034203
B-FARMER-20260209-6N9G	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-6N(3102)005650	ce1c3937144c4735
B-FARMER-20260209-ZBR4	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-ZB(3102)028250	6b119c126b7c453f
B-FARMER-20260209-L9LS	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-L9(3102)005690	73391f52f10e4765
B-FARMER-20260209-OAF9	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-OA(3102)028450	6861602b494445b5
B-FARMER-20260209-DTOQ	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-DT(3102)003420	0a59e59c15a74919
B-FARMER-20260209-2665	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-26(3102)017100	ff02b7d834dd44f0
B-FARMER-20260209-8SPS	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-8S(3102)009290	96a70f0b946c4456
B-FARMER-20260209-UIXC	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-UI(3102)046450	ce4df02e7e46470b
B-FARMER-20260209-03GG	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-03(3102)008110	6a18a538a158481c
B-FARMER-20260209-HUTT	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-HU(3102)040550	1c768b1abd72499d
B-FARMER-20260209-X5IE	长白山人参 精制片	(01)06912345678901(10)B-FARMER-202-08qs5e4(3102)005420	3a27ba6f2719414a
B-FARMER-20260209-H6OH	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-20260209-H6(3102)027100	7648e678ce584964
B-FARMER-20260209-HZGV	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-202-0ar15x1(3102)002920	c1e60ec0deb144ba
B-FARMER-20260209-719K	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-71(3102)014600	93d4273b8d1b479c
B-FARMER-20260209-9052	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-90(3102)008720	891804b3fe19432e
B-FARMER-20260209-POOI	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-PO(3102)043600	9fc7fd1426464a80
B-FARMER-20260209-BQSS	长白山人参 精制片	(01)06912345678901(10)B-FARMER-20260209-BQ(3102)006630	8fcc8bde5ff74f67
B-FARMER-20260209-U2F9	长白山人参 (原始)	(01)06912345678901(10)B-FARMER-20260209-U2(3102)033150	c84aac62088d4363
B-FARMER-20260209-NSLK	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-NS(3102)003920	9f53f9d3885742f5
B-FARMER-20260209-CNC6	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-CN(3102)019600	82d11e53144045d0
B-FARMER-20260209-JBST	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-JB(3102)008920	2457019cdb344994
B-FARMER-20260209-LOZ2	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-20260209-LO(3102)044600	e7fe9c53a397430a
B-FARMER-20260209-5T99	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-5T(3102)004960	1d1e1ae0f48345b4
B-FARMER-20260209-2ZP4	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-2Z(3102)024800	e3e43ce15b2945b2
B-FARMER-20260209-DPYP	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-DP(3102)002050	47207b2d987a4104
B-FARMER-20260209-J3G7	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-20260209-J3(3102)010250	e4e9d103f9544ab8
B-FARMER-20260209-B2M7	四川当归 精制片	(01)06912345678901(10)B-FARMER-20260209-B2(3102)005400	7448bef2053c47bd
B-FARMER-20260209-RU7R	四川当归 (原始)	(01)06912345678901(10)B-FARMER-202-06j3lpa(3102)027000	9a81bae9d1f04bdf
B-FARMER-20260209-0H7E	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-0H(3102)005030	45a9e0ee80b04705
B-FARMER-20260209-NDBQ	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-ND(3102)025150	29376541dcf44f35
B-FARMER-20260209-MB9Z	广东陈皮 精制片	(01)06912345678901(10)B-FARMER-20260209-MB(3102)005760	b0aaca8309144611
B-FARMER-20260209-IZ00	广东陈皮 (原始)	(01)06912345678901(10)B-FARMER-202-04ac0xo(3102)028800	b9103fb6fab74270
B-FARMER-20260209-TSD1	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-TS(3102)009720	b11cea4a47bd4116
B-FARMER-20260209-OHPT	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-202-0d4fsyh(3102)048600	ecf0c66472774ab4
B-FARMER-20260209-IXC0	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-IX(3102)007110	969a699543424e72
B-FARMER-20260209-VBB0	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-VB(3102)035550	fb52c48c3895494b
B-FARMER-20260209-OHQX	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-OH(3102)007600	c572b73b31e04d43
B-FARMER-20260209-60UH	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-60(3102)038000	2b9fbf88cf534dff
B-FARMER-20260209-7O9L	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-7O(3102)009750	b33221fe72a14923
B-FARMER-20260209-3OFR	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-3O(3102)048750	97d95b2380e34e2a
B-FARMER-20260209-Q2KK	甘肃黄芪 精制片	(01)06912345678901(10)B-FARMER-20260209-Q2(3102)007640	4210b7665a9c492b
B-FARMER-20260209-2S7B	甘肃黄芪 (原始)	(01)06912345678901(10)B-FARMER-202-001bz9z(3102)038200	d208465a1eee4661
B-FARMER-20260209-K4YR	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-K4(3102)002000	25f961cfc3034efa
B-FARMER-20260209-OWTS	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-OW(3102)010000	9c5fc6c203134400
B-FARMER-20260209-RJIG	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-RJ(3102)009060	6ec371e7fbdb44a5
B-FARMER-20260209-7FER	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-7F(3102)045300	85eb8d04997e4b0a
B-FARMER-20260209-E3X3	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-202-07ti70j(3102)001770	e80db008b69b47f4
B-FARMER-20260209-JT6B	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-20260209-JT(3102)008850	e14a38f3df744ea1
B-FARMER-20260209-FFS6	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-FF(3102)002280	b78da95cc5ca4581
B-FARMER-20260209-T5VN	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-T5(3102)011400	6182aa56776943af
B-FARMER-20260209-D1J7	浙江杭菊 精制片	(01)06912345678901(10)B-FARMER-20260209-D1(3102)006310	f150419cb96e4ebb
B-FARMER-20260209-US1Q	浙江杭菊 (原始)	(01)06912345678901(10)B-FARMER-202-0ggajzr(3102)031550	979909c0e5784c01
B-FARMER-20260209-7XLM	云南三七 精制片	(01)06912345678901(10)B-FARMER-20260209-7X(3102)004650	4825b66c7aee4ae9
B-FARMER-20260209-69UN	云南三七 (原始)	(01)06912345678901(10)B-FARMER-20260209-69(3102)023250	08efde91b0304c99
B-FARMER-20260209-0IJ2	宁夏枸杞 精制片	(01)06912345678901(10)B-FARMER-20260209-0I(3102)003220	f6b8c6d6c7d84ff7
B-FARMER-20260209-PDUQ	宁夏枸杞 (原始)	(01)06912345678901(10)B-FARMER-20260209-PD(3102)016100	eb57bba1012c4a78
B-FARMER-20260209-N92L	安徽白芍 精制片	(01)06912345678901(10)B-FARMER-20260209-N9(3102)003080	db95f9e9da624017
B-FARMER-20260209-YQ7Z	安徽白芍 (原始)	(01)06912345678901(10)B-FARMER-20260209-YQ(3102)015400	be24cc61efb44739
